date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:29	1943/1943	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22588e92cf24b21922a067e39c47acaf21%22	https://eliah-next.vercel.app/robots.txt		(from )
16:36:29	25061/25061	---MCZ	200	added ('OK')	text/html	etag:W/%22f7e630fef4a0c6208243102416716513%22	https://eliah-next.vercel.app/	C:/My%20Web%20Sites/pureexa/eliah-next.vercel.app/index.html	(from )
16:36:30	23952/23952	---M--	200	added ('OK')	font/woff2	etag:%2266c76811dd475e57db94a59c74fba88d%22	https://eliah-next.vercel.app/_next/static/media/ae0a0c671023eecc-s.p.woff2	C:/My%20Web%20Sites/pureexa/eliah-next.vercel.app/_next/static/media/ae0a0c671023eecc-s.p.woff2	(from https://eliah-next.vercel.app/)
16:36:31	117431/117431	---M--	200	added ('OK')	image/gif	etag:%226f91258e3600cd470763c83a2ff1027f%22	https://eliah-next.vercel.app/images/loading.gif	C:/My%20Web%20Sites/pureexa/eliah-next.vercel.app/images/loading.gif	(from https://eliah-next.vercel.app/)
16:36:32	19763/19763	---MCZ	200	added ('OK')	text/css	etag:W/%2226deaba7b0e746056e9830fc0c56e0c3%22	https://eliah-next.vercel.app/_next/static/css/22a924c01cd86f7a.css	C:/My%20Web%20Sites/pureexa/eliah-next.vercel.app/_next/static/css/22a924c01cd86f7a.css	(from https://eliah-next.vercel.app/)
16:36:32	292544/292544	---MCZ	200	added ('OK')	text/css	etag:W/%22f7f003db4fce629dee3fb875219886b9%22	https://eliah-next.vercel.app/_next/static/css/385d4530b0cbedbf.css	C:/My%20Web%20Sites/pureexa/eliah-next.vercel.app/_next/static/css/385d4530b0cbedbf.css	(from https://eliah-next.vercel.app/)
16:36:34	3797/3797	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e3985cf5ac61e02b9a7e4135b4b814a1%22	https://eliah-next.vercel.app/_next/static/chunks/webpack-a8ad54d669fcd3d9.js	C:/My%20Web%20Sites/pureexa/eliah-next.vercel.app/_next/static/chunks/webpack-a8ad54d669fcd3d9.js	(from https://eliah-next.vercel.app/)
16:36:35	172162/172162	---MCZ	200	added ('OK')	application/javascript	etag:W/%220d225318bcb8e4c20e8b1166af471778%22	https://eliah-next.vercel.app/_next/static/chunks/fd9d1056-efe9634af2996cb4.js	C:/My%20Web%20Sites/pureexa/eliah-next.vercel.app/_next/static/chunks/fd9d1056-efe9634af2996cb4.js	(from https://eliah-next.vercel.app/)
16:36:35	111774/111774	---MCZ	200	added ('OK')	application/javascript	etag:W/%224f4358c9f2f5073fc8f83344b9b624eb%22	https://eliah-next.vercel.app/_next/static/chunks/69-adcc3967e17fb6a6.js	C:/My%20Web%20Sites/pureexa/eliah-next.vercel.app/_next/static/chunks/69-adcc3967e17fb6a6.js	(from https://eliah-next.vercel.app/)
16:36:36	462/462	---M--	200	added ('OK')	application/javascript	etag:%2226e3e343f4ddbeea4deb04831427fc30%22	https://eliah-next.vercel.app/_next/static/chunks/main-app-f5c8d25c8479457f.js	C:/My%20Web%20Sites/pureexa/eliah-next.vercel.app/_next/static/chunks/main-app-f5c8d25c8479457f.js	(from https://eliah-next.vercel.app/)
16:36:37	61691/61691	---MCZ	200	added ('OK')	application/javascript	etag:W/%2296e6eff4f7bf2637bb0949351d5e49ec%22	https://eliah-next.vercel.app/_next/static/chunks/372-af08bc81a648d1cf.js	C:/My%20Web%20Sites/pureexa/eliah-next.vercel.app/_next/static/chunks/372-af08bc81a648d1cf.js	(from https://eliah-next.vercel.app/)
16:36:37	20525/20525	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ea83f0f810d6d6836efeb18f1784cc3%22	https://eliah-next.vercel.app/_next/static/chunks/442-97667c1cd70ccf2f.js	C:/My%20Web%20Sites/pureexa/eliah-next.vercel.app/_next/static/chunks/442-97667c1cd70ccf2f.js	(from https://eliah-next.vercel.app/)
